column,role,unit,formula,source,availability_rule,missingness_handling,dtype
demand_forecast_error_mae_24h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_error_bias_24h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_error_count_24h,quality_or_availability,integer,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_error_mw_latest_completed,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_error_observed_at_utc,provenance,UTC timestamp,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[ns, UTC]"
wind_forecast_error_forecast_published_at_utc,provenance,UTC timestamp,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[ns, UTC]"
wind_forecast_error_age_minutes,model_feature,minutes,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_error_mae_2h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_error_bias_2h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_error_count_2h,quality_or_availability,integer,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_error_mae_6h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_error_bias_6h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_error_count_6h,quality_or_availability,integer,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_error_mae_12h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_error_bias_12h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_error_count_12h,quality_or_availability,integer,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_error_mae_24h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_error_bias_24h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_error_count_24h,quality_or_availability,integer,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_error_mw_latest_completed,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_error_observed_at_utc,provenance,UTC timestamp,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[ns, UTC]"
solar_forecast_error_forecast_published_at_utc,provenance,UTC timestamp,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[ns, UTC]"
solar_forecast_error_age_minutes,model_feature,minutes,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_error_mae_2h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_error_bias_2h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_error_count_2h,quality_or_availability,integer,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_error_mae_6h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_error_bias_6h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_error_count_6h,quality_or_availability,integer,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_error_mae_12h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_error_bias_12h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_error_count_12h,quality_or_availability,integer,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_error_mae_24h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_error_bias_24h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_error_count_24h,quality_or_availability,integer,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_mw_all_missing_flag,quality_or_availability,integer,"1 when demand_forecast_mw_all is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_mw_all_published_at_utc_missing_flag,quality_or_availability,integer,"1 when demand_forecast_mw_all_published_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_mw_all_age_minutes_missing_flag,quality_or_availability,integer,"1 when demand_forecast_mw_all_age_minutes is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_mw_ni_missing_flag,quality_or_availability,integer,"1 when demand_forecast_mw_ni is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_mw_ni_published_at_utc_missing_flag,quality_or_availability,integer,"1 when demand_forecast_mw_ni_published_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_mw_ni_age_minutes_missing_flag,quality_or_availability,integer,"1 when demand_forecast_mw_ni_age_minutes is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_mw_roi_missing_flag,quality_or_availability,integer,"1 when demand_forecast_mw_roi is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_mw_roi_published_at_utc_missing_flag,quality_or_availability,integer,"1 when demand_forecast_mw_roi_published_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_mw_roi_age_minutes_missing_flag,quality_or_availability,integer,"1 when demand_forecast_mw_roi_age_minutes is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_export_mw_nimoyle_missing_flag,quality_or_availability,integer,"1 when interconnector_max_export_mw_nimoyle is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_export_mw_nimoyle_published_at_utc_missing_flag,quality_or_availability,integer,"1 when interconnector_max_export_mw_nimoyle_published_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_export_mw_nimoyle_age_minutes_missing_flag,quality_or_availability,integer,"1 when interconnector_max_export_mw_nimoyle_age_minutes is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_export_mw_roiewic_missing_flag,quality_or_availability,integer,"1 when interconnector_max_export_mw_roiewic is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_export_mw_roiewic_published_at_utc_missing_flag,quality_or_availability,integer,"1 when interconnector_max_export_mw_roiewic_published_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_export_mw_roiewic_age_minutes_missing_flag,quality_or_availability,integer,"1 when interconnector_max_export_mw_roiewic_age_minutes is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_export_mw_roigrlk_missing_flag,quality_or_availability,integer,"1 when interconnector_max_export_mw_roigrlk is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_export_mw_roigrlk_published_at_utc_missing_flag,quality_or_availability,integer,"1 when interconnector_max_export_mw_roigrlk_published_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_export_mw_roigrlk_age_minutes_missing_flag,quality_or_availability,integer,"1 when interconnector_max_export_mw_roigrlk_age_minutes is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_import_mw_nimoyle_missing_flag,quality_or_availability,integer,"1 when interconnector_max_import_mw_nimoyle is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_import_mw_nimoyle_published_at_utc_missing_flag,quality_or_availability,integer,"1 when interconnector_max_import_mw_nimoyle_published_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_import_mw_nimoyle_age_minutes_missing_flag,quality_or_availability,integer,"1 when interconnector_max_import_mw_nimoyle_age_minutes is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_import_mw_roiewic_missing_flag,quality_or_availability,integer,"1 when interconnector_max_import_mw_roiewic is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_import_mw_roiewic_published_at_utc_missing_flag,quality_or_availability,integer,"1 when interconnector_max_import_mw_roiewic_published_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_import_mw_roiewic_age_minutes_missing_flag,quality_or_availability,integer,"1 when interconnector_max_import_mw_roiewic_age_minutes is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_import_mw_roigrlk_missing_flag,quality_or_availability,integer,"1 when interconnector_max_import_mw_roigrlk is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_import_mw_roigrlk_published_at_utc_missing_flag,quality_or_availability,integer,"1 when interconnector_max_import_mw_roigrlk_published_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_max_import_mw_roigrlk_age_minutes_missing_flag,quality_or_availability,integer,"1 when interconnector_max_import_mw_roigrlk_age_minutes is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
solar_forecast_mw_all_missing_flag,quality_or_availability,integer,"1 when solar_forecast_mw_all is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
solar_forecast_mw_all_published_at_utc_missing_flag,quality_or_availability,integer,"1 when solar_forecast_mw_all_published_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
solar_forecast_mw_all_age_minutes_missing_flag,quality_or_availability,integer,"1 when solar_forecast_mw_all_age_minutes is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_mw_all_missing_flag,quality_or_availability,integer,"1 when wind_forecast_mw_all is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_mw_all_published_at_utc_missing_flag,quality_or_availability,integer,"1 when wind_forecast_mw_all_published_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_mw_all_age_minutes_missing_flag,quality_or_availability,integer,"1 when wind_forecast_mw_all_age_minutes is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
dispatch_down_mwh_missing_flag,quality_or_availability,integer,"1 when dispatch_down_mwh is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
curtailment_mwh_missing_flag,quality_or_availability,integer,"1 when curtailment_mwh is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
constraint_mwh_missing_flag,quality_or_availability,integer,"1 when constraint_mwh is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
forecast_variable_renewable_mw_missing_flag,quality_or_availability,integer,"1 when forecast_variable_renewable_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
forecast_net_load_mw_missing_flag,quality_or_availability,integer,"1 when forecast_net_load_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
forecast_renewable_share_ratio_missing_flag,quality_or_availability,integer,"1 when forecast_renewable_share_ratio is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
forecast_renewable_surplus_mw_missing_flag,quality_or_availability,integer,"1 when forecast_renewable_surplus_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
nimoyle_export_headroom_mw_missing_flag,quality_or_availability,integer,"1 when nimoyle_export_headroom_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
nimoyle_utilisation_ratio_missing_flag,quality_or_availability,integer,"1 when nimoyle_utilisation_ratio is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
roiewic_export_headroom_mw_missing_flag,quality_or_availability,integer,"1 when roiewic_export_headroom_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
roiewic_utilisation_ratio_missing_flag,quality_or_availability,integer,"1 when roiewic_utilisation_ratio is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
roigrlk_export_headroom_mw_missing_flag,quality_or_availability,integer,"1 when roigrlk_export_headroom_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
roigrlk_utilisation_ratio_missing_flag,quality_or_availability,integer,"1 when roigrlk_utilisation_ratio is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
forecast_snsp_proxy_ratio_missing_flag,quality_or_availability,integer,"1 when forecast_snsp_proxy_ratio is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_export_headroom_mw_missing_flag,quality_or_availability,integer,"1 when interconnector_export_headroom_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
interconnector_utilisation_ratio_missing_flag,quality_or_availability,integer,"1 when interconnector_utilisation_ratio is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_vintage_disagreement_std_mw_missing_flag,quality_or_availability,integer,"1 when demand_forecast_vintage_disagreement_std_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_vintage_range_mw_missing_flag,quality_or_availability,integer,"1 when demand_forecast_vintage_range_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_revision_delta_mw_missing_flag,quality_or_availability,integer,"1 when demand_forecast_revision_delta_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_vintage_disagreement_std_mw_missing_flag,quality_or_availability,integer,"1 when wind_forecast_vintage_disagreement_std_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_vintage_range_mw_missing_flag,quality_or_availability,integer,"1 when wind_forecast_vintage_range_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_revision_delta_mw_missing_flag,quality_or_availability,integer,"1 when wind_forecast_revision_delta_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
solar_forecast_vintage_disagreement_std_mw_missing_flag,quality_or_availability,integer,"1 when solar_forecast_vintage_disagreement_std_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
solar_forecast_vintage_range_mw_missing_flag,quality_or_availability,integer,"1 when solar_forecast_vintage_range_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
solar_forecast_revision_delta_mw_missing_flag,quality_or_availability,integer,"1 when solar_forecast_revision_delta_mw is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_mw_latest_completed_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_mw_latest_completed is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_observed_at_utc_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_observed_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_forecast_published_at_utc_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_forecast_published_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_age_minutes_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_age_minutes is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_mae_2h_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_mae_2h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_bias_2h_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_bias_2h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_count_2h_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_count_2h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_mae_6h_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_mae_6h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_bias_6h_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_bias_6h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_count_6h_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_count_6h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_mae_12h_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_mae_12h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_bias_12h_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_bias_12h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_count_12h_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_count_12h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_mae_24h_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_mae_24h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_bias_24h_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_bias_24h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
demand_forecast_error_count_24h_missing_flag,quality_or_availability,integer,"1 when demand_forecast_error_count_24h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_mw_latest_completed_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_mw_latest_completed is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_observed_at_utc_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_observed_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_forecast_published_at_utc_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_forecast_published_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_age_minutes_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_age_minutes is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_mae_2h_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_mae_2h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_bias_2h_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_bias_2h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_count_2h_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_count_2h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_mae_6h_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_mae_6h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_bias_6h_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_bias_6h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_count_6h_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_count_6h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_mae_12h_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_mae_12h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_bias_12h_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_bias_12h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_count_12h_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_count_12h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_mae_24h_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_mae_24h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_bias_24h_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_bias_24h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
wind_forecast_error_count_24h_missing_flag,quality_or_availability,integer,"1 when wind_forecast_error_count_24h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
solar_forecast_error_mw_latest_completed_missing_flag,quality_or_availability,integer,"1 when solar_forecast_error_mw_latest_completed is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
solar_forecast_error_observed_at_utc_missing_flag,quality_or_availability,integer,"1 when solar_forecast_error_observed_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
solar_forecast_error_forecast_published_at_utc_missing_flag,quality_or_availability,integer,"1 when solar_forecast_error_forecast_published_at_utc is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
solar_forecast_error_age_minutes_missing_flag,quality_or_availability,integer,"1 when solar_forecast_error_age_minutes is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
solar_forecast_error_mae_2h_missing_flag,quality_or_availability,integer,"1 when solar_forecast_error_mae_2h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
solar_forecast_error_bias_2h_missing_flag,quality_or_availability,integer,"1 when solar_forecast_error_bias_2h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
solar_forecast_error_count_2h_missing_flag,quality_or_availability,integer,"1 when solar_forecast_error_count_2h is missing, otherwise 0",derived quality flag,calculated from the paired field on the same row,not applicable,int8
